0,"{'sigma': '5.1e-06', 'label': 'e', 'title': 'eccentricity', 'units': None, 'name': 'e', 'value': '0.662'}","{'label': 'a', 'title': 'semi-major axis', 'units': 'au', 'value': '2.52', 'name': 'a', 'sigma': '3.5e-05'}","{'sigma': '7.4e-07', 'units': 'au', 'title': 'perihelion distance', 'label': 'q', 'name': 'q', 'value': '0.851'}","{'sigma': '1.9e-05', 'label': 'i', 'units': 'deg', 'title': 'inclination; angle with respect to x-y ecliptic plane', 'value': '3.41', 'name': 'i'}","{'title': 'longitude of the ascending node', 'units': 'deg', 'label': 'node', 'name': 'om', 'value': '271', 'sigma': '9.7e-06'}","{'sigma': '2.2e-05', 'name': 'w', 'value': '134', 'units': 'deg', 'title': 'argument of perihelion', 'label': 'peri'}","{'sigma': '0.00087', 'name': 'ma', 'value': '40.4', 'label': 'M', 'units': 'deg', 'title': 'mean anomaly'}","{'name': 'tp', 'value': '2460636.918', 'units': 'TDB', 'title': 'time of perihelion passage', 'label': 'tp', 'sigma': '5.6e-05'}","{'sigma': '0.031', 'value': '1460', 'name': 'per', 'title': 'sidereal orbital period', 'units': 'd', 'label': 'period'}","{'sigma': '5.2e-06', 'name': 'n', 'value': '0.247', 'units': 'deg/d', 'title': 'mean motion', 'label': 'n'}","{'sigma': '5.9e-05', 'label': 'Q', 'units': 'au', 'title': 'aphelion distance', 'value': '4.18', 'name': 'ad'}"
0,"{'units': None, 'title': 'eccentricity', 'label': 'e', 'name': 'e', 'value': '0.662', 'sigma': '5.1e-06'}","{'label': 'a', 'units': 'au', 'title': 'semi-major axis', 'name': 'a', 'value': '2.52', 'sigma': '3.5e-05'}","{'value': '0.851', 'name': 'q', 'label': 'q', 'units': 'au', 'title': 'perihelion distance', 'sigma': '7.4e-07'}","{'title': 'inclination; angle with respect to x-y ecliptic plane', 'units': 'deg', 'label': 'i', 'name': 'i', 'value': '3.41', 'sigma': '1.9e-05'}","{'sigma': '9.7e-06', 'name': 'om', 'value': '271', 'label': 'node', 'units': 'deg', 'title': 'longitude of the ascending node'}","{'title': 'argument of perihelion', 'units': 'deg', 'label': 'peri', 'value': '134', 'name': 'w', 'sigma': '2.2e-05'}","{'label': 'M', 'title': 'mean anomaly', 'units': 'deg', 'value': '40.4', 'name': 'ma', 'sigma': '0.00087'}","{'sigma': '5.6e-05', 'name': 'tp', 'value': '2460636.918', 'label': 'tp', 'units': 'TDB', 'title': 'time of perihelion passage'}","{'units': 'd', 'title': 'sidereal orbital period', 'label': 'period', 'value': '1460', 'name': 'per', 'sigma': '0.031'}","{'sigma': '5.2e-06', 'label': 'n', 'units': 'deg/d', 'title': 'mean motion', 'name': 'n', 'value': '0.247'}","{'value': '4.18', 'name': 'ad', 'units': 'au', 'title': 'aphelion distance', 'label': 'Q', 'sigma': '5.9e-05'}"
0,"{'label': 'e', 'title': 'eccentricity', 'units': None, 'name': 'e', 'value': '0.662', 'sigma': '5.1e-06'}","{'label': 'a', 'units': 'au', 'title': 'semi-major axis', 'value': '2.52', 'name': 'a', 'sigma': '3.5e-05'}","{'sigma': '7.4e-07', 'label': 'q', 'title': 'perihelion distance', 'units': 'au', 'name': 'q', 'value': '0.851'}","{'sigma': '1.9e-05', 'title': 'inclination; angle with respect to x-y ecliptic plane', 'units': 'deg', 'label': 'i', 'value': '3.41', 'name': 'i'}","{'label': 'node', 'title': 'longitude of the ascending node', 'units': 'deg', 'name': 'om', 'value': '271', 'sigma': '9.7e-06'}","{'title': 'argument of perihelion', 'units': 'deg', 'label': 'peri', 'name': 'w', 'value': '134', 'sigma': '2.2e-05'}","{'label': 'M', 'units': 'deg', 'title': 'mean anomaly', 'value': '40.4', 'name': 'ma', 'sigma': '0.00087'}","{'value': '2460636.918', 'name': 'tp', 'units': 'TDB', 'title': 'time of perihelion passage', 'label': 'tp', 'sigma': '5.6e-05'}","{'sigma': '0.031', 'label': 'period', 'title': 'sidereal orbital period', 'units': 'd', 'name': 'per', 'value': '1460'}","{'value': '0.247', 'name': 'n', 'label': 'n', 'units': 'deg/d', 'title': 'mean motion', 'sigma': '5.2e-06'}","{'title': 'aphelion distance', 'units': 'au', 'label': 'Q', 'name': 'ad', 'value': '4.18', 'sigma': '5.9e-05'}"
0,0.662,e,,eccentricity,e,5.1e-06
1,2.52,a,au,semi-major axis,a,3.5e-05
2,0.851,q,au,perihelion distance,q,7.4e-07
3,3.41,i,deg,inclination; angle with respect to x-y ecliptic plane,i,1.9e-05
4,271,om,deg,longitude of the ascending node,node,9.7e-06
5,134,w,deg,argument of perihelion,peri,2.2e-05
6,40.4,ma,deg,mean anomaly,M,0.00087
7,2460636.918,tp,TDB,time of perihelion passage,tp,5.6e-05
8,1460,per,d,sidereal orbital period,period,0.031
9,0.247,n,deg/d,mean motion,n,5.2e-06
10,4.18,ad,au,aphelion distance,Q,5.9e-05
0,0.662,e,e,eccentricity,,3.6e-06
1,2.52,a,a,semi-major axis,au,2.5e-05
2,0.851,q,q,perihelion distance,au,5.3e-07
3,3.41,i,i,inclination; angle with respect to x-y ecliptic plane,deg,1.3e-05
4,271,om,node,longitude of the ascending node,deg,9.2e-06
5,134,w,peri,argument of perihelion,deg,1.6e-05
6,40.4,ma,M,mean anomaly,deg,0.00062
7,2460636.918,tp,tp,time of perihelion passage,TDB,4e-05
8,1460,per,period,sidereal orbital period,d,0.022
9,0.247,n,n,mean motion,deg/d,3.7e-06
10,4.18,ad,Q,aphelion distance,au,4.2e-05
0,e,eccentricity,,e,0.662,3.6e-06
1,a,semi-major axis,au,a,2.52,2.5e-05
2,q,perihelion distance,au,q,0.851,5.3e-07
3,i,inclination; angle with respect to x-y ecliptic plane,deg,i,3.41,1.3e-05
4,node,longitude of the ascending node,deg,om,271,9.2e-06
5,peri,argument of perihelion,deg,w,134,1.6e-05
6,M,mean anomaly,deg,ma,40.4,0.00062
7,tp,time of perihelion passage,TDB,tp,2460636.918,4e-05
8,period,sidereal orbital period,d,per,1460,0.022
9,n,mean motion,deg/d,n,0.247,3.7e-06
10,Q,aphelion distance,au,ad,4.18,4.2e-05
0,3.6e-06,e,0.662,eccentricity,,e
1,2.5e-05,a,2.52,semi-major axis,au,a
2,5.3e-07,q,0.851,perihelion distance,au,q
3,1.3e-05,i,3.41,inclination; angle with respect to x-y ecliptic plane,deg,i
4,9.2e-06,om,271,longitude of the ascending node,deg,node
5,1.6e-05,w,134,argument of perihelion,deg,peri
6,0.00062,ma,40.4,mean anomaly,deg,M
7,4e-05,tp,2460636.918,time of perihelion passage,TDB,tp
8,0.022,per,1460,sidereal orbital period,d,period
9,3.7e-06,n,0.247,mean motion,deg/d,n
10,4.2e-05,ad,4.18,aphelion distance,au,Q
0,3.6e-06,e,,eccentricity,0.662,e
1,2.5e-05,a,au,semi-major axis,2.52,a
2,5.3e-07,q,au,perihelion distance,0.851,q
3,1.3e-05,i,deg,inclination; angle with respect to x-y ecliptic plane,3.41,i
4,9.2e-06,node,deg,longitude of the ascending node,271,om
5,1.6e-05,peri,deg,argument of perihelion,134,w
6,0.00062,M,deg,mean anomaly,40.4,ma
7,4e-05,tp,TDB,time of perihelion passage,2460636.918,tp
8,0.022,period,d,sidereal orbital period,1460,per
9,3.7e-06,n,deg/d,mean motion,0.247,n
10,4.2e-05,Q,au,aphelion distance,4.18,ad
0,,3.6e-06,eccentricity,e,0.662,e
1,au,2.5e-05,semi-major axis,a,2.52,a
2,au,5.3e-07,perihelion distance,q,0.851,q
3,deg,1.3e-05,inclination; angle with respect to x-y ecliptic plane,i,3.41,i
4,deg,9.2e-06,longitude of the ascending node,node,271,om
5,deg,1.6e-05,argument of perihelion,peri,134,w
6,deg,0.00062,mean anomaly,M,40.4,ma
7,TDB,4e-05,time of perihelion passage,tp,2460636.918,tp
8,d,0.022,sidereal orbital period,period,1460,per
9,deg/d,3.7e-06,mean motion,n,0.247,n
10,au,4.2e-05,aphelion distance,Q,4.18,ad
